Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,188.5,195.75,184.0,192.0,192.0,16022
2020-01-03,194.5,196.0,187.0,191.5,191.5,12310
2020-01-06,200.0,249.75,198.0,242.0,242.0,42194
2020-01-07,247.0,268.0,213.0,215.5,215.5,40158
2020-01-08,222.5,236.5,206.5,235.5,235.5,21328
2020-01-09,238.0,251.0,232.5,236.0,236.0,16254
2020-01-10,240.0,269.5,230.0,266.25,266.25,21780
2020-01-13,271.0,289.0,259.20001220703125,271.0,271.0,16018
2020-01-14,265.5,275.5,257.0,263.5,263.5,11844
2020-01-15,266.0,280.25,264.5,274.5,274.5,10768
2020-01-16,276.5,309.79998779296875,276.5,284.0,284.0,19980
2020-01-17,288.5,334.5,276.0,326.0,326.0,24326
2020-01-21,315.5,325.0,291.0,321.0,321.0,28254
2020-01-22,323.0,360.0,307.5,338.0,338.0,22390
2020-01-23,332.5,374.0,325.0,361.5,361.5,25808
2020-01-24,371.5,385.0,338.5,362.5,362.5,28422
2020-01-27,340.0,373.0,332.5,362.75,362.75,12040
2020-01-28,365.0,369.6499938964844,346.5,357.5,357.5,11448
2020-01-29,360.5,362.0,321.5,325.5,325.5,16830
2020-01-30,314.5,332.5,300.5,311.0,311.0,12760
2020-01-31,308.0,308.0,291.5,298.0,298.0,13840
2020-02-03,297.0,324.5,294.6000061035156,324.5,324.5,9686
2020-02-04,326.5,361.5,325.0,332.0,332.0,15864
2020-02-05,341.0,346.70001220703125,312.0,313.0,313.0,10510
2020-02-06,314.5,348.0,309.8500061035156,343.5,343.5,13406
2020-02-07,343.5,352.0,327.5,328.0,328.0,9728
2020-02-10,327.5,330.0,321.0,326.75,326.75,11206
2020-02-11,333.5,342.0,315.0,319.75,319.75,12008
2020-02-12,302.5,325.0,285.5,313.5,313.5,25812
2020-02-13,312.5,337.5,306.5,331.0,331.0,8212
2020-02-14,332.5,339.5,317.0,325.0,325.0,11860
2020-02-18,325.0,336.5,320.0,327.5,327.5,9718
2020-02-19,327.0,331.5,324.0,329.5,329.5,5638
2020-02-20,328.5,331.5,319.0,326.5,326.5,5488
2020-02-21,326.0,329.5,310.5,325.0,325.0,8786
2020-02-24,312.0,327.5,303.0,317.0,317.0,13368
2020-02-25,318.0,322.70001220703125,297.5,306.0,306.0,41616
2020-02-26,306.0,307.5,297.5,302.0,302.0,11228
2020-02-27,295.5,310.0,276.5,293.0,293.0,10578
2020-02-28,278.5,299.0,259.0,267.5,267.5,13098
2020-03-02,268.5,301.5,265.5,299.0,299.0,12580
2020-03-03,300.0,304.5,293.0,299.5,299.5,12466
2020-03-04,307.0,328.5,298.5,320.0,320.0,15864
2020-03-05,316.0,321.8999938964844,301.5,315.0,315.0,16738
2020-03-06,304.0,333.5,302.5,314.0,314.0,22306
2020-03-09,315.5,442.0,300.0,396.5,396.5,142762
2020-03-10,420.0,431.5,378.0,394.5,394.5,68692
2020-03-11,434.0,434.0,372.5,381.5,381.5,119516
